CEFACT Code;Engineering UnitId;Description;DisplayName
E82;4536370;pebibit per cubic metre;Pibit/m³
E83;4536371;terabit;Tbit
E84;4536372;terabit per second;Tbit/s
E85;4536373;tebibit per metre;Tibit/m
E86;4536374;tebibit per cubic metre;Tibit/m³
E87;4536375;tebibit per square metre;Tibit/m²
E88;4536376;bit per metre;bit/m
E89;4536377;bit per square metre;bit/m²
E90;4536624;reciprocal centimetre;cm?¹
E91;4536625;reciprocal day;d?¹
E92;4536626;cubic decimetre per hour;dm³/h
E93;4536627;kilogram per hour;kg/h
E94;4536628;kilomole per second;kmol/s
E95;4536629;mole per second;mol/s
E96;4536630;degree per second;°/s
E97;4536631;millimetre per degree Celcius metre;mm/(°C·m)
E98;4536632;degree Celsius per kelvin;°C/K
E99;4536633;hectopascal per bar;hPa/bar
EA;17729;each;
EB;17730;electronic mail box;
EQ;17745;equivalent gallon;
F01;4599857;bit per cubic metre;bit/m³
F02;4599858;kelvin per kelvin;K/K
F03;4599859;kilopascal per bar;kPa/bar
F04;4599860;millibar per bar;mbar/bar
F05;4599861;megapascal per bar;MPa/bar
F06;4599862;poise per bar;P/bar
F07;4599863;pascal per bar;Pa/bar
F08;4599864;milliampere per inch;mA/in
F10;4600112;kelvin per hour;K/h
F11;4600113;kelvin per minute;K/min
F12;4600114;kelvin per second;K/s
F13;4600115;slug;slug
F14;4600116;gram per kelvin;g/K
F15;4600117;kilogram per kelvin;kg/K
F16;4600118;milligram per kelvin;mg/K
F17;4600119;pound-force per foot;lbf/ft
F18;4600120;kilogram square centimetre;kg·cm²
F19;4600121;kilogram square millimetre;kg·mm²
F20;4600368;pound inch squared;lb·in²
F21;4600369;pound-force inch;lbf·in
F22;4600370;pound-force foot per ampere;lbf·ft/A
F23;4600371;gram per cubic decimetre;g/dm³
F24;4600372;kilogram per kilomol;kg/kmol
F25;4600373;gram per hertz;g/Hz
F26;4600374;gram per day;g/d
F27;4600375;gram per hour;g/h
F28;4600376;gram per minute;g/min
F29;4600377;gram per second;g/s
F30;4600624;kilogram per day;kg/d
F31;4600625;kilogram per minute;kg/min
F32;4600626;milligram per day;mg/d
F33;4600627;milligram per minute;mg/min
F34;4600628;milligram per second;mg/s
F35;4600629;gram per day kelvin;g/(d·K)
F36;4600630;gram per hour kelvin;g/(h·K)
F37;4600631;gram per minute kelvin;g/(min·K)
F38;4600632;gram per second kelvin;g/(s·K)
F39;4600633;kilogram per day kelvin;kg/(d·K)
F40;4600880;kilogram per hour kelvin;kg/(h·K)
F41;4600881;kilogram per minute kelvin;kg/(min·K)
F42;4600882;kilogram per second kelvin;kg/(s·K)
F43;4600883;milligram per day kelvin;mg/(d·K)
F44;4600884;milligram per hour kelvin;mg/(h·K)
F45;4600885;milligram per minute kelvin;mg/(min·K)
F46;4600886;milligram per second kelvin;mg/(s·K)
F47;4600887;newton per millimetre;N/mm
F48;4600888;pound-force per inch;lbf/in
F49;4600889;rod [unit of distance];rd (US)
F50;4601136;micrometre per kelvin;µm/K
F51;4601137;centimetre per kelvin;cm/K
F52;4601138;metre per kelvin;m/K
F53;4601139;millimetre per kelvin;mm/K
F54;4601140;milliohm per metre;m?/m
F55;4601141;ohm per mile (statute mile);?/mi
F56;4601142;ohm per kilometre;?/km
F57;4601143;milliampere per pound-force per square inch;mA/(lbf/in²)
F58;4601144;reciprocal bar;1/bar
F59;4601145;milliampere per bar;mA/bar
F60;4601392;degree Celsius per bar;°C/bar
F61;4601393;kelvin per bar;K/bar
F62;4601394;gram per day bar;g/(d·bar)
F63;4601395;gram per hour bar;g/(h·bar)
F64;4601396;gram per minute bar;g/(min·bar)
F65;4601397;gram per second bar;g/(s·bar)
F66;4601398;kilogram per day bar;kg/(d·bar)
F67;4601399;kilogram per hour bar;kg/(h·bar)
F68;4601400;kilogram per minute bar;kg/(min·bar)
F69;4601401;kilogram per second bar;kg/(s·bar)
F70;4601648;milligram per day bar;mg/(d·bar)
F71;4601649;milligram per hour bar;mg/(h·bar)
F72;4601650;milligram per minute bar;mg/(min·bar)
F73;4601651;milligram per second bar;mg/(s·bar)
F74;4601652;gram per bar;g/bar
F75;4601653;milligram per bar;mg/bar
F76;4601654;milliampere per millimetre;mA/mm
F77;4601655;pascal second per kelvin;Pa.s/K
F78;4601656;inch of water;inH?O
F79;4601657;inch of mercury;inHg
F80;4601904;water horse power;
F81;4601905;bar per kelvin;bar/K
F82;4601906;hectopascal per kelvin;hPa/K
F83;4601907;kilopascal per kelvin;kPa/K
